,创业板
2014-09-25,22699612.0
2014-09-26,18315996.0
2014-09-29,21163796.0
2014-09-30,19584148.0
2014-10-08,21221706.0
2014-10-09,25641920.0
2014-10-10,22691636.0
2014-10-13,21551880.0
2014-10-14,20848818.0
2014-10-15,19598464.0
2014-10-16,20861354.0
2014-10-17,20135108.0
2014-10-20,14849203.0
2014-10-21,15816636.0
2014-10-22,15915656.0
2014-10-23,16279293.0
2014-10-24,12401052.0
2014-10-27,14263073.0
2014-10-28,17756332.0
2014-10-29,21378044.0
2014-10-30,19050520.0
2014-10-31,18562324.0
2014-11-03,17033744.0
2014-11-04,17887450.0
2014-11-05,14780292.0
